TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NSHB,SHB1,SHB2,SHB3,SHB4,TSHB
T5,2,AWD,B,N1,2,99.0,11,0,0,0,0,0,0.00
T5,2,AWD,B,N1,3,94.3,20,8,5,15,0,0,5.00
T5,2,AWD,B,N1,4,99.5,20,2,1,0,0,0,0.25
T5,2,AWD,B,N1,5,94.6,13,0,0,0,0,0,0.00
T5,2,AWD,B,N1,6,98.0,20,3,1,0,0,0,0.25
T5,2,AWD,B,N1,7,102.0,12,0,0,0,0,0,0.00
T5,2,AWD,B,N1,8,99.0,20,4,15,0,0,0,3.75
T5,2,AWD,B,N1,9,98.0,23,2,5,0,0,0,1.25
T5,3,AWD,A,N1,1,86.0,12,4,1,1,1,1,1.00
T5,3,AWD,A,N1,2,92.0,23,14,0,5,1,15,5.25
T5,3,AWD,A,N1,3,92.5,22,0,0,0,0,0,0.00
T5,3,AWD,A,N1,4,91.6,12,0,0,0,0,0,0.00
T5,3,AWD,A,N1,5,90.0,14,2,15,5,0,0,5.00
T5,3,AWD,A,N1,6,87.0,10,4,0,0,0,0,0.00
T5,3,AWD,A,N1,7,94.0,15,0,0,0,0,0,0.00
T5,3,AWD,A,N1,8,92.3,14,3,1,1,1,0,0.75
T5,3,AWD,A,N1,9,93.2,22,0,0,0,0,0,0.00
T5,3,AWD,B,N1,1,89.6,20,4,5,15,5,1,6.50
T5,3,AWD,B,N1,2,90.7,15,0,0,0,0,0,0.00
T5,3,AWD,B,N1,3,94.5,17,1,5,0,0,0,1.25
T5,3,AWD,B,N1,4,85.0,19,0,0,0,0,0,0.00
T5,3,AWD,B,N1,5,95.6,19,0,0,0,0,0,0.00
T5,3,AWD,B,N1,6,87.0,10,0,0,0,0,0,0.00
T5,3,AWD,B,N1,7,96.0,14,4,5,1,1,5,3.00
T5,3,AWD,B,N1,8,92.0,17,3,1,5,1,0,1.75
T5,3,AWD,B,N1,9,86.0,16,0,0,0,0,0,0.00
T5,4,AWD,A,N1,1,99.0,11,2,1,15,1,0,4.25
T5,4,AWD,A,N1,2,100.0,20,1,5,0,1,0,1.50
T5,4,AWD,A,N1,3,101.0,21,3,15,1,0,0,4.00
T5,4,AWD,A,N1,4,100.0,16,5,15,50,50,5,30.00
T5,4,AWD,A,N1,5,100.0,18,3,5,5,0,0,2.50
T5,4,AWD,A,N1,6,97.0,14,0,0,0,0,0,0.00
T5,4,AWD,A,N1,7,96.0,17,7,5,5,5,5,5.00
T5,4,AWD,A,N1,8,101.0,15,5,15,1,5,5,6.50
T5,4,AWD,A,N1,9,75.0,9,0,0,0,0,0,0.00
T5,4,AWD,B,N1,1,88.0,17,0,0,0,0,0,0.00
T5,4,AWD,B,N1,2,82.0,15,0,0,0,0,0,0.00
T5,4,AWD,B,N1,3,82.0,17,1,1,0,0,0,0.25
T5,4,AWD,B,N1,4,85.0,19,0,0,0,0,0,0.00
T5,4,AWD,B,N1,5,80.0,8,0,0,0,0,0,0.00
T5,4,AWD,B,N1,6,92.0,18,4,50,15,1,5,17.75
T5,4,AWD,B,N1,7,88.0,18,1,1,0,0,0,0.25
T5,4,AWD,B,N1,8,91.0,30,0,0,0,0,0,0.00
T5,4,AWD,B,N1,9,93.0,21,5,15,50,5,1,17.75
T6,1,AWD,A,N2,1,99.5,27,2,0,0,50,0,12.50
T6,1,AWD,A,N2,2,99.0,21,2,0,0,15,0,3.75
T6,1,AWD,A,N2,3,98.2,19,2,0,0,5,0,1.25
T6,1,AWD,A,N2,4,96.5,22,1,0,0,0,15,3.75
T6,1,AWD,A,N2,5,99.5,27,5,0,0,0,15,3.75
T6,1,AWD,A,N2,6,91.0,10,0,0,0,0,0,0.00
