TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NSHB,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4,LSHB
T1,3,FLD,B,N0,8,62.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,B,N0,9,62.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,4,FLD,A,N0,1,76.8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,4,FLD,A,N0,2,62.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,4,FLD,A,N0,3,73.5,20,8,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13
T1,4,FLD,A,N0,4,76.0,24,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
T1,4,FLD,A,N0,5,77.6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,4,FLD,A,N0,6,73.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,4,FLD,A,N0,7,72.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,4,FLD,A,N0,8,70.6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,4,FLD,A,N0,9,68.4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,4,FLD,B,N0,1,66.0,14,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
T1,4,FLD,B,N0,2,67.8,21,6,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13
T1,4,FLD,B,N0,3,65.2,12,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
