TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T1,4,PDL,A,N0,8,70.6,17,0,1,,6,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,A,N0,9,68.4,12,0,1,,6,0,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,B,N0,1,66,14,3,1,1,5,0,,,,1,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,5,0,,,,,,
T1,4,PDL,B,N0,2,67.8,21,6,1,2,5,0,,,,,1,,2,1,6,0,,,,1,1,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,B,N0,3,65.2,12,5,1,1,6,0,,,1,1,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,B,N0,4,67.5,17,5,1,1,6,0,,,,,1,,2,1,5,0,,,,1,1,,3,,5,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,B,N0,5,63,12,3,1,1,6,0,,,,,1,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,B,N0,6,71.2,19,4,1,1,5,0,,,,1,,,2,1,6,0,,,,,1,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,B,N0,7,68.4,15,0,1,,6,0,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,B,N0,8,63.5,16,4,1,1,6,0,,,,1,,,2,,5,0,,,,,1,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,B,N0,9,74,16,4,1,1,5,0,,,,1,,,2,1,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,1,PDL,A,N1,1,75.5,15,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,2,5,0,,,1,,,
T2,1,PDL,A,N1,2,67.2,28,4,1,,5,0,,,,,,,2,,5,0,,,,,,,3,2,5,0,,1,,,,,4,2,5,0,,2,,,,
T2,1,PDL,A,N1,3,76,20,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,2,5,0,,,,,,
T2,1,PDL,A,N1,4,78.2,21,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,2,5,0,,,,,,
T2,1,PDL,A,N1,5,76.5,20,2,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,2,5,0,,,,,,
T2,1,PDL,A,N1,6,75,20,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,1,PDL,A,N1,7,79.2,17,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,1,5,0,,,,,,
T2,1,PDL,A,N1,8,81.3,22,2,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,2,5,0,,,,,,
T2,1,PDL,A,N1,9,79.5,34,3,1,,5,0,,,,,,,2,,5,0,,,,,,,3,2,5,0,,,,,,,4,,5,0,,,,,,
T2,1,PDL,B,N1,1,68.5,16,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,,
T2,1,PDL,B,N1,2,67.3,15,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T2,1,PDL,B,N1,3,71,29,4,1,,5,0,,,,,,,2,,5,0,,,,,,,3,1,5,0,,1,,,,,4,2,5,0,,2,,,,
T2,1,PDL,B,N1,4,76.2,20,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,1,PDL,B,N1,5,56.2,21,2,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,2,5,0,,,,,,
T2,1,PDL,B,N1,6,66.5,11,2,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,,
T2,1,PDL,B,N1,7,66.1,15,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,1,PDL,B,N1,8,68.5,17,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,,
T2,1,PDL,B,N1,9,75.2,20,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,1,71,15,2,1,2,4,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,2,75.5,21,5,1,2,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,3,79,24,4,1,1,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,4,74.2,14,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,5,78.6,24,5,1,2,5,0,,,,2,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
