"DATE","REP","WMGT","NRTE","SMPL","HILL","NTIL","NTShB","NSHShB","TIL","GL","DL","ShBL1","ShBL2","ShBL3","ShBL4","ShBL5","ShBL6"
"","1","AWD","N2","B","5","17","11","1","1","2","1","0","0","","","",""
"","1","AWD","N2","B","5","","","1","2","3","2","0","0","0","","",""
"","1","AWD","N2","B","5","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","B","5","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","B","6","22","15","1","1","2","2","0","0","","","",""
"","1","AWD","N2","B","6","","","1","2","2","1","0","0","","","",""
"","1","AWD","N2","B","6","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","B","6","","","1","4","3","1","0","0","0","","",""
"","1","AWD","N2","B","7","26","23","1","1","2","1","0","0","","","",""
"","1","AWD","N2","B","7","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","B","7","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","B","7","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","B","8","16","13","1","1","2","2","0","0","","","",""
"","1","AWD","N2","B","8","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","B","8","","","1","3","1","1","0","","","","",""
"","1","AWD","N2","B","8","","","1","4","2","1","0","0","","","",""
"","1","AWD","N2","B","9","14","14","1","1","2","2","0","0","","","",""
"","1","AWD","N2","B","9","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","B","9","","","1","3","2","1","0","0","","","",""
"","1","AWD","N2","B","9","","","1","4","2","1","0","0","","","",""
"26-Apr-16","1","PDL","N1","A","1","15","9","1","1","2","1","0","0","","","",""
"","1","PDL","N1","A","1","","","1","2","2","2","0","0","","","",""
"","1","PDL","N1","A","1","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","A","1","","","1","4","2","1","0","0","","","",""
"","1","PDL","N1","A","2","25","22","3","1","2","2","0","0","","","",""
"","1","PDL","N1","A","2","","","1","2","2","1","0","0","","","",""
"","1","PDL","N1","A","2","","","1","3","2","1","0","0","","","",""
"","1","PDL","N1","A","2","","","1","4","2","2","0","0","","","",""
"","1","PDL","N1","A","3","24","15","1","1","1","2","0","","","","",""
"","1","PDL","N1","A","3","","","3","2","2","2","0","0","","","",""
"","1","PDL","N1","A","3","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","A","3","","","1","4","1","2","0","","","","",""
"","1","PDL","N1","A","4","16","13","1","1","1","2","0","","","","",""
"","1","PDL","N1","A","4","","","1","2","2","1","0","0","","","",""
"","1","PDL","N1","A","4","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","A","4","","","1","4","2","1","0","0","","","",""
"","1","PDL","N1","A","5","23","17","1","1","2","2","0","0","","","",""
"","1","PDL","N1","A","5","","","3","2","2","2","0","0","","","",""
"","1","PDL","N1","A","5","","","1","3","3","2","0","0","","","",""
"","1","PDL","N1","A","5","","","3","4","2","1","0","0","","","",""
"","1","PDL","N1","A","6","16","9","1","1","2","1","0","0","","","",""
"","1","PDL","N1","A","6","","","1","2","2","2","0","0","","","",""
"","1","PDL","N1","A","6","","","1","3","2","1","0","0","","","",""
"","1","PDL","N1","A","6","","","1","4","2","1","0","0","","","",""
"","1","PDL","N1","A","7","13","6","1","1","2","1","0","0","","","",""
"","1","PDL","N1","A","7","","","1","2","2","2","0","0","","","",""
"","1","PDL","N1","A","7","","","2","3","2","2","0","0","","","",""
"","1","PDL","N1","A","7","","","1","4","2","2","0","0","","","",""
"","1","PDL","N1","A","8","23","13","1","1","3","2","0","0","0","","",""
"","1","PDL","N1","A","8","","","1","2","2","1","0","0","","","",""
"","1","PDL","N1","A","8","","","1","3","2","1","0","0","","","",""
"","1","PDL","N1","A","8","","","1","4","2","1","0","0","","","",""
"","1","PDL","N1","A","9","16","6","1","1","2","2","0","0","","","",""
"","1","PDL","N1","A","9","","","1","2","2","2","0","0","","","",""
"","1","PDL","N1","A","9","","","1","3","2","1","0","0","","","",""
"","1","PDL","N1","A","9","","","1","4","2","2","0","0","","","",""
"26-Apr-16","1","PDL","N1","B","1","21","12","1","1","2","1","0","0","","","",""
"","1","PDL","N1","B","1","","","2","2","2","2","0","0","","","",""
"","1","PDL","N1","B","1","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","B","1","","","1","4","2","2","0","0","","","",""
"","1","PDL","N1","B","2","14","7","1","1","2","1","0","0","","","",""
"","1","PDL","N1","B","2","","","1","2","2","1","0","0","","","",""
"","1","PDL","N1","B","2","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","B","2","","","1","4","2","2","0","0","","","",""
"","1","PDL","N1","B","3","19","13","1","1","2","1","0","0","","","",""
"","1","PDL","N1","B","3","","","3","2","1","1","0","0","","","",""
"","1","PDL","N1","B","3","","","1","3","1","2","0","0","","","",""
"","1","PDL","N1","B","3","","","1","4","2","2","0","0","","","",""
"","1","PDL","N1","B","4","20","20","1","1","1","2","0","0","","","",""
"","1","PDL","N1","B","4","","","1","2","2","1","0","0","","","",""
"","1","PDL","N1","B","4","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","B","4","","","1","4","1","1","0","0","","","",""
"","1","PDL","N1","B","5","16","15","1","1","1","1","0","0","","","",""
"","1","PDL","N1","B","5","","","1","2","2","2","0","0","","","",""
"","1","PDL","N1","B","5","","","1","3","1","1","0","0","","","",""
"","1","PDL","N1","B","5","","","3","4","2","1","0","0","","","",""
"","1","PDL","N1","B","6","18","12","1","1","2","1","0","0","","","",""
"","1","PDL","N1","B","6","","","2","2","2","2","0","0","","","",""
"","1","PDL","N1","B","6","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","B","6","","","1","4","2","1","0","0","","","",""
"","1","PDL","N1","B","7","14","14","1","1","2","1","0","0","","","",""
"","1","PDL","N1","B","7","","","1","2","2","2","0","0","","","",""
"","1","PDL","N1","B","7","","","1","3","2","1","0","0","","","",""
"","1","PDL","N1","B","7","","","2","4","2","2","0","0","","","",""
"","1","PDL","N1","B","8","23","17","1","1","2","1","0","0","","","",""
"","1","PDL","N1","B","8","","","1","2","2","1","0","0","","","",""
"","1","PDL","N1","B","8","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","B","8","","","1","4","2","2","0","0","","","",""
"","1","PDL","N1","B","9","16","15","1","1","3","1","0","0","","","",""
"","1","PDL","N1","B","9","","","1","2","2","2","0","0","","","",""
"","1","PDL","N1","B","9","","","1","3","2","1","0","0","","","",""
"","1","PDL","N1","B","9","","","3","4","2","1","0","0","","","",""
"26-Apr-16","1","PDL","N2","A","1","23","16","3","1","2","1","0","0","","","",""
"","1","PDL","N2","A","1","","","3","2","2","2","0","0","","","",""
"","1","PDL","N2","A","1","","","3","3","2","1","0","0","","","",""
"","1","PDL","N2","A","1","","","3","4","2","1","0","0","","","",""
"","1","PDL","N2","A","2","15","15","3","1","2","1","0","0","","","",""
"","1","PDL","N2","A","2","","","3","2","2","2","0","0","","","",""
"","1","PDL","N2","A","2","","","3","3","2","2","0","0","","","",""
"","1","PDL","N2","A","2","","","3","4","2","1","0","0","","","",""
"","1","PDL","N2","A","3","20","18","4","1","2","1","0","0","","","",""
"","1","PDL","N2","A","3","","","3","2","2","1","0","0","","","",""
"","1","PDL","N2","A","3","","","3","3","2","1","0","0","","","",""
"","1","PDL","N2","A","3","","","3","4","2","1","0","0","","","",""
"","1","PDL","N2","A","4","20","20","3","1","2","1","0","0","","","",""
"","1","PDL","N2","A","4","","","3","2","2","2","0","0","","","",""
"","1","PDL","N2","A","4","","","1","3","2","2","0","0","","","",""
"","1","PDL","N2","A","4","","","3","4","2","2","0","0","","","",""
"","1","PDL","N2","A","5","16","16","3","1","2","1","0","0","","","",""
"","1","PDL","N2","A","5","","","1","2","2","2","0","0","","","",""
"","1","PDL","N2","A","5","","","1","3","2","1","0","0","","","",""
"","1","PDL","N2","A","5","","","1","4","2","1","0","0","","","",""
"","1","PDL","N2","A","6","19","19","4","1","2","1","0","0","","","",""
"","1","PDL","N2","A","6","","","3","2","2","2","0","0","","","",""
"","1","PDL","N2","A","6","","","3","3","2","1","0","0","","","",""
"","1","PDL","N2","A","6","","","4","4","2","2","0","0","","","",""
"","1","PDL","N2","A","7","23","17","4","1","2","1","0","0","","","",""
"","1","PDL","N2","A","7","","","4","2","2","1","0","0","","","",""
"","1","PDL","N2","A","7","","","3","3","2","2","0","0","","","",""
"","1","PDL","N2","A","7","","","4","4","2","2","0","0","","","",""
"","1","PDL","N2","A","8","19","19","4","1","2","2","0","0","","","",""
"","1","PDL","N2","A","8","","","3","2","2","2","0","0","","","",""
"","1","PDL","N2","A","8","","","4","3","2","2","0","0","","","",""
"","1","PDL","N2","A","8","","","3","4","2","2","0","0","","","",""
"","1","PDL","N2","A","9","18","18","4","1","2","2","0","0","","","",""
"","1","PDL","N2","A","9","","","4","2","2","1","0","0","","","",""
