TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T2,1,PDL,A,N1,5,86.5,26,2,1,,4,0,,,,,,,2,3,4,0,,,,,2,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,1,PDL,A,N1,6,87,11,0,1,,4,1,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,1,PDL,A,N1,7,81.3,17,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,2,4,0,,,,,,,4,,4,0,,,,,,
T2,1,PDL,A,N1,8,84,15,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T2,1,PDL,A,N1,9,90.3,18,1,1,,4,0,,,,,,,2,2,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,1,PDL,B,N1,1,92,14,1,1,4,4,0,,,,,3,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,1,PDL,B,N1,2,89.5,19,3,1,,4,0,,,,,,,2,,4,0,,,,,,,3,3,4,0,,,,,2,,4,,4,0,,,,,,
T2,1,PDL,B,N1,3,97.2,17,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,3,4,0,,,,,,
T2,1,PDL,B,N1,4,89,19,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,2,4,0,,,,,,,4,,4,0,,,,,,
T2,1,PDL,B,N1,5,81.2,18,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,2,4,0,,,,,,
T2,1,PDL,B,N1,6,94,22,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,3,4,0,,,,,2,
T2,1,PDL,B,N1,7,99.2,20,1,1,2,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,1,PDL,B,N1,8,90,24,4,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,3,4,0,,,,,2,
T2,1,PDL,B,N1,9,96.3,32,2,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,4,5,0,,,,,3,
T2,2,PDL,A,N1,1,86,11,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,2,90.4,21,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,2,PDL,A,N1,3,89.5,26,2,1,,5,0,,,,1,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,2,PDL,A,N1,4,101,13,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,5,103.5,24,5,1,1,4,1,,,,,,,2,1,4,1,,,,1,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,2,PDL,A,N1,6,91.5,10,0,1,,5,0,,,,,,,2,,4,1,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,7,103,22,5,1,2,5,0,,,,,,,2,2,5,0,,,,2,,,3,,4,1,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,8,108.2,20,3,1,,5,0,,,,2,,,2,,4,1,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,9,101.5,17,0,1,,4,1,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,4,1,,,,,,
T2,2,PDL,B,N1,1,102.3,15,5,1,3,4,1,,,1,2,,,2,3,4,1,,,,3,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,2,PDL,B,N1,2,99.5,21,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,2,PDL,B,N1,3,97.6,23,3,1,3,4,1,,,,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,2,PDL,B,N1,4,93,14,0,1,,4,1,,,,,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,2,PDL,B,N1,5,91.5,21,4,1,2,5,0,,,,1,,,2,,4,1,,,,,,,3,,5,0,,,,,,,4,,4,1,,,,,,
T2,2,PDL,B,N1,6,101.5,12,2,1,3,5,0,,,,1,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,2,PDL,B,N1,7,91.5,18,2,1,,5,0,,,1,1,,,2,,4,1,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,B,N1,8,98.5,26,7,1,2,5,0,,,,1,,,2,3,4,1,,,1,1,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,2,PDL,B,N1,9,97.6,21,3,1,2,5,0,,,,2,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,3,PDL,A,N1,1,85,17,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,A,N1,2,91,30,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,A,N1,3,87.5,13,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,A,N1,4,78,15,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,A,N1,5,82,9,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,A,N1,6,92,28,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,A,N1,7,90,17,0,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,A,N1,8,90,23,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,A,N1,9,89,16,0,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,B,N1,1,95,15,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,B,N1,2,94,26,0,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T2,3,PDL,B,N1,3,95,16,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,B,N1,4,85,14,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,B,N1,5,92,19,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,B,N1,6,95,17,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,B,N1,7,98,13,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,B,N1,8,99,23,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,3,PDL,B,N1,9,98,17,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T2,4,PDL,A,N1,1,82.3,20,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,4,1,,,,,,
T2,4,PDL,A,N1,2,81.5,14,0,1,,5,0,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,A,N1,3,92,24,3,1,1,4,1,,,1,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,A,N1,4,85,18,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,A,N1,5,92.3,18,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,4,PDL,A,N1,6,85.2,9,0,1,,5,0,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,5,0,,,,,,
T2,4,PDL,A,N1,7,87,14,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,5,0,,,,,,,4,,4,1,,,,,,
T2,4,PDL,A,N1,8,83.5,10,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,5,0,,,,,,
T2,4,PDL,A,N1,9,85.3,20,0,1,,5,0,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,B,N1,1,93.5,14,2,1,1,4,1,,,,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,B,N1,2,101,18,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,B,N1,3,94.5,19,2,1,,4,1,,,,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,B,N1,4,87.5,14,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,B,N1,5,100,19,2,1,1,4,1,,,,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,B,N1,6,96,24,2,1,1,4,1,,,,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,B,N1,7,93,14,3,1,1,4,1,,,1,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,B,N1,8,96,20,7,1,2,5,0,,,1,1,,,2,2,5,0,,,1,1,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,4,PDL,B,N1,9,86,19,3,1,1,5,0,,,1,1,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T3,1,PDL,A,N2,1,98.5,15,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,2,5,0,,,,,1,,4,,5,0,,,,,,
T3,1,PDL,A,N2,2,88.2,22,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,3,5,0,,,,,1,
T3,1,PDL,A,N2,3,92.5,29,0,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
