DATE,REP,WMGT,NRTE,SMPL,HILL,NTIL,NTShB,NSHShB,TIL,GL,DL,ShBL1,ShBL2,ShBL3,ShBL4,ShBL5,ShBL6
,2,AWD,N2,A,2,7,5,1,1,4,1,1,0,0,0,,
,2,AWD,N2,A,2,,,3,2,4,1,1,1,0,0,,
,2,AWD,N2,A,2,,,1,3,5,,0,0,0,0,0,
,2,AWD,N2,A,2,,,1,4,4,1,0,1,0,0,,
,2,AWD,N2,A,3,20,20,1,1,5,,0,0,0,0,0,
,2,AWD,N2,A,3,,,3,2,4,1,2,0,0,0,,
,2,AWD,N2,A,3,,,3,3,5,,1,0,0,0,0,
,2,AWD,N2,A,3,,,3,4,5,,1,1,0,0,0,
,2,AWD,N2,A,4,18,16,1,1,5,,2,1,0,0,0,
,2,AWD,N2,A,4,,,1,2,4,1,1,0,0,0,,
,2,AWD,N2,A,4,,,1,3,5,,0,0,0,0,0,
,2,AWD,N2,A,4,,,3,4,4,1,1,0,0,0,,
,2,AWD,N2,A,5,20,15,3,1,5,,0,2,1,0,0,
,2,AWD,N2,A,5,,,1,2,4,,0,1,0,0,,
,2,AWD,N2,A,5,,,1,3,5,,0,0,0,0,0,
,2,AWD,N2,A,5,,,3,4,5,,1,1,0,0,0,
,2,AWD,N2,A,6,19,9,3,1,5,,1,0,0,0,0,
,2,AWD,N2,A,6,,,3,2,5,,0,2,1,0,0,
,2,AWD,N2,A,6,,,3,3,5,,0,1,0,0,0,
,2,AWD,N2,A,6,,,3,4,4,1,2,1,0,0,,
,2,AWD,N2,A,7,23,19,1,1,5,,0,2,2,0,0,
,2,AWD,N2,A,7,,,1,2,4,1,2,1,0,0,,
,2,AWD,N2,A,7,,,3,3,5,,2,1,1,1,0,
,2,AWD,N2,A,7,,,1,4,5,,0,0,0,0,0,
,2,AWD,N2,A,8,19,17,3,1,5,,0,0,0,0,0,
,2,AWD,N2,A,8,,,3,2,5,,2,1,0,0,0,
,2,AWD,N2,A,8,,,3,3,5,,2,1,0,0,0,
,2,AWD,N2,A,8,,,1,4,4,1,1,0,0,0,,
,2,AWD,N2,A,9,24,21,1,1,5,,0,0,0,0,0,
,2,AWD,N2,A,9,,,1,2,4,1,2,0,0,0,,
,2,AWD,N2,A,9,,,3,3,4,1,2,0,0,0,,
